Title,Year,Genres,Total Episodes,Episodes Watched,Status,Personal Rating (1-10),Start Date (YYYY-MM-DD),Finish Date (YYYY-MM-DD),Notes
Naruto,2002,Action; Adventure; Fantasy; Shonen,220,,Plan to Watch,,,,
One Piece,1999,Action; Adventure; Fantasy; Shonen; Comedy,?,,Plan to Watch,,,,
Attack on Titan,2013,Action; Drama; Fantasy; Psychological; Horror,94,,Plan to Watch,,,,
Demon Slayer,2019,Action; Supernatural; Historical; Shonen,55,,Plan to Watch,,,,
Jujutsu Kaisen,2020,Action; Supernatural; School; Shonen,47,,Plan to Watch,,,,
Death Note,2006,Mystery; Psychological; Supernatural; Drama,37,,Plan to Watch,,,,
Fullmetal Alchemist: Brotherhood,2009,Action; Adventure; Drama; Fantasy; Shonen,64,,Plan to Watch,,,,
Hunter x Hunter,2011,Action; Adventure; Fantasy; Shonen,148,,Plan to Watch,,,,
Chainsaw Man,2022,Action; Horror; Supernatural; Shonen,12,,Plan to Watch,,,,
Solo Leveling,2024,Action; Fantasy; Supernatural,25,,Plan to Watch,,,,
Frieren: Beyond Journey's End,2023,Fantasy; Adventure; Drama; Slice Of Life,28,,Plan to Watch,,,,
Spy x Family,2022,Action; Comedy; Slice Of Life; Family,37,,Plan to Watch,,,,
Dragon Ball Z,1989,Action; Adventure; Shonen; Supernatural,291,,Plan to Watch,,,,
Bleach,2004,Action; Supernatural; Shonen,?,,Plan to Watch,,,,
My Hero Academia,2016,Action; Shonen; School; Supernatural,?,,Plan to Watch,,,,
JoJo's Bizarre Adventure,2012,Action; Adventure; Supernatural; Shonen,?,,Plan to Watch,,,,
One-Punch Man,2015,Action; Comedy; Supernatural,?,,Plan to Watch,,,,
Mob Psycho 100,2016,Action; Comedy; Supernatural; School,37,,Plan to Watch,,,,
Haikyuu!!,2014,Sports; Drama; School; Shonen,85,,Plan to Watch,,,,
Blue Lock,2022,Sports; Drama; Shonen,?,,Plan to Watch,,,,
Black Clover,2017,Action; Fantasy; Magic; Shonen,170,,Plan to Watch,,,,
Dr. Stone,2019,Adventure; Sci Fi; Shonen,?,,Plan to Watch,,,,
Yu Yu Hakusho,1992,Action; Supernatural; Shonen,112,,Plan to Watch,,,,
